"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg00541544","chr22",39150255,"+","cg00541544",NA,NA,NA,NA,NA,NA,"chr22:39151457-39152476","N_Shore","UNC84B","NM_015374","5'UTR","","","","","","","",0.994310071676077,-2.46981626103707,7.06916450894776,9.06804497213232e-09,0.000124247910811434,9.65458958568085
"cg18502630","chr9",139871955,"-","cg18502630",NA,NA,NA,NA,NA,NA,"chr9:139872237-139873143","N_Shore","PTGDS;PTGDS","NM_000954;NM_000954","5'UTR;1stExon","low-CpG:138991775-138991848","","TRUE","","","","",-0.867805288890169,2.16367659338946,-7.05471062984039,9.52081070811038e-09,0.00012562004484114,9.61112387822636
"cg08283130","chr19",8591776,"-","cg08283130",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","Island","MYO1F","NM_012335","Body","","","","19:8497324-8497807","","","",-2.41936819649095,2.45513035564336,-7.00009666826913,1.14463050219235e-08,0.00014563174759054,9.44674556580195
"cg05674437","chr3",196694153,"-","cg05674437",NA,NA,NA,NA,NA,NA,"chr3:196693765-196694200","Island","PIGZ","NM_025163","5'UTR","","","","3:198177926-198181429","","","",2.06560543923828,2.5359956974378,6.95110383225998,1.35042791629404e-08,0.000165890756220748,9.29909932817471
"cg05417607","chr17",1373605,"-","cg05417607","rs56091302",0.011436,NA,NA,NA,NA,"chr17:1375216-1375460","N_Shore","MYO1C;MYO1C;MYO1C","NM_001080779;NM_033375;NM_001080950","Body;Body;Body","","","","17:1320307-1320907","","","",-2.54042813512925,5.02590848801468,-6.89233999230471,1.6468484030847e-08,0.00019556050311897,9.12178508709659
"cg14793596","chr1",1290092,"-","cg14793596",NA,NA,NA,NA,NA,NA,"chr1:1289707-1291126","Island","MXRA8","NM_032348","Body","","","TRUE","1:1279462-1280955","1:1289971-1290347","Unclassified_Cell_type_specific","",-1.85225180088387,-4.20856356862796,-6.85917704037668,1.84210641248611e-08,0.000211690709327779,9.02161691743064
"cg02892925","chr8",60032926,"-","cg02892925",NA,NA,NA,NA,NA,NA,"chr8:60030134-60032356","S_Shore","TOX","NM_014729","TSS1500","","RDMR","","8:60195454-60195555","8:60032510-60033159","Promoter_Associated","",-1.28140494344725,0.60266451242055,-6.79890501718189,2.25837379526539e-08,0.000243487674498353,8.83938703191474
"cg14271729","chr14",57858383,"-","cg14271729",NA,NA,NA,NA,NA,NA,"chr14:57856944-57858351","S_Shore","NAA30","NM_001011713","Body","","RDMR","","","14:57856548-57858521","Promoter_Associated","",-0.826646381360204,-0.752352519679379,-6.79885045923396,2.25879044388839e-08,0.000243487674498353,8.83922197703547
"cg15254671","chr19",8591513,"+","cg15254671",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","Island","MYO1F","NM_012335","Body","","DMR","","19:8497324-8497807","","","",-3.06077737717391,2.58178842947872,-6.7904533952083,2.32384480706929e-08,0.000243487674498353,8.8138161009267
"cg12128839","chr7",27183436,"-","cg12128839",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS200","","","","7:27149871-27150476","7:27182652-27184498","Unclassified","",2.28293453222775,1.6175680720234,6.7757376320191,2.44241596303107e-08,0.000248599564214287,8.76928247428286
"cg20491707","chr10",47083283,"-","cg20491707",NA,NA,NA,NA,NA,NA,"chr10:47083341-47083633","N_Shore","PPYR1","NM_005972","TSS1500","","","TRUE","","","","",-0.825679449366726,-1.22784805996385,-6.75926402385067,2.58236203175736e-08,0.000254439399018749,8.71941413352527
"cg19721065","chr12",113549986,"+","cg19721065",NA,NA,NA,NA,NA,NA,"chr12:113549885-113550165","Island","RASAL1","NM_004658","Body","","","","12:112034215-112034575","","","",1.41749268586541,1.76577334660472,6.75244298247704,2.64263576013521e-08,0.000254439399018749,8.6987611338124
"cg26780138","chr16",477087,"+","cg26780138",NA,NA,NA,NA,NA,NA,"chr16:474922-476815","S_Shore","RAB11FIP3","NM_014700","Body","","","","16:414914-417121","16:477042-477182","Promoter_Associated","",-1.14544809230997,-1.26320698853718,-6.73467438008929,2.80635248027889e-08,0.000263091852457093,8.64494832995688
"cg10527525","chr7",70061508,"+","cg10527525",NA,NA,NA,NA,NA,NA,"chr7:70060834-70061456","S_Shore","AUTS2;AUTS2","NM_015570;NM_001127231","Body;Body","","RDMR","","7:69698771-69699553","","","",-0.921122194713821,-2.01079112277974,-6.71567440763877,2.99268014632927e-08,0.000273365984289505,8.58738685197867
"cg14270725","chr1",1289806,"-","cg14270725","rs4534327",0.021583,NA,NA,NA,NA,"chr1:1289707-1291126","Island","MXRA8","NM_032348","Body","","","TRUE","1:1279462-1280955","","","",-1.31583003857435,-1.6455323958703,-6.6873169702644,3.29409007342065e-08,0.000278604095818054,8.50144010631183
"cg27570951","chr17",79801578,"+","cg27570951",NA,NA,NA,NA,NA,NA,"chr17:79799286-79799624","S_Shore","P4HB","NM_000918","3'UTR","","","","17:77394851-77395279","","","",-1.3357684286918,2.76841138486784,-6.68701976833286,3.2974050211936e-08,0.000278604095818054,8.50053911061334
"cg20623506","chr17",79813410,"+","cg20623506",NA,NA,NA,NA,NA,NA,"","OpenSea","P4HB","NM_000918","Body","","","","17:77406674-77406811","","","",-1.59948943496297,4.03332253453542,-6.67998227231777,3.37688450011663e-08,0.000278604095818054,8.47920293384619
"cg21226442","chr12",27088580,"-","cg21226442",NA,NA,NA,NA,NA,NA,"chr12:27091158-27091857","N_Shelf","C12orf11","NM_018164","Body","","","","","","","",-0.793004375260767,0.273304786893078,-6.67943782002615,3.38311280738391e-08,0.000278604095818054,8.47755216435489
"cg01005506","chr10",64565768,"-","cg01005506",NA,NA,NA,NA,NA,NA,"chr10:64564435-64565818","Island","ADO;ADO","NM_032804;NM_032804","3'UTR;1stExon","low-CpG:64235755-64235783","","","10:64234450-64235803","","","",-0.987009075399803,-1.46748243323324,-6.67442051288856,3.44105326839517e-08,0.000278604095818054,8.46233906056132
"cg23901918","chr10",105420747,"+","cg23901918",NA,NA,NA,NA,NA,NA,"chr10:105420685-105421076","Island","SH3PXD2A","NM_014631","Body","","RDMR","TRUE","10:105410630-105411686","10:105419167-105420771","Promoter_Associated","",-1.82500878319229,-1.05431880518426,-6.65979682230647,3.61566441010874e-08,0.000284181114925242,8.41799086493983
"cg27246571","chr12",96389588,"-","cg27246571",NA,NA,NA,NA,NA,NA,"chr12:96389405-96389675","Island","HAL","NM_002108","Body","","","","12:94913582-94913735","","","",-1.47640162706347,1.6304548043033,-6.65543234337719,3.66947782749545e-08,0.000284181114925242,8.40475293761338
"cg17054691","chr17",79813439,"-","cg17054691",NA,NA,NA,NA,NA,NA,"","OpenSea","P4HB","NM_000918","Body","","","","17:77406674-77406811","","","",-1.74998297646512,3.66277007004275,-6.64807628965096,3.76199917356133e-08,0.000285147530975608,8.38243909862991
"cg01092135","chr7",148768099,"-","cg01092135",NA,NA,NA,NA,NA,NA,"chr7:148767960-148769190","Island","ZNF786","NM_152411","Body","","","","7:148398784-148400123","","","",-1.03699987779042,2.7514217714893,-6.61486114191139,4.20974376476202e-08,0.000312437534891176,8.28165150880141
"cg07207669","chr1",155102388,"-","cg07207669",NA,NA,NA,NA,NA,NA,"chr1:155098434-155100451","S_Shore","EFNA1;EFNA1","NM_182685;NM_004428","Body;Body","","","TRUE","","","","TRUE",0.939179656526367,1.17945015624555,6.59991320968858,4.42829937863817e-08,0.000316875143694312,8.23627666919527
"cg17390301","chr11",111250093,"+","cg17390301",NA,NA,NA,NA,NA,NA,"","OpenSea","POU2AF1;POU2AF1","NM_006235;NM_006235","1stExon;5'UTR","","","TRUE","11:110755253-110755442","11:111249442-111250825","Unclassified","",1.36508243970595,-3.20368161324327,6.59863996102183,4.44743285792519e-08,0.000316875143694312,8.23241121354577
"cg17771050","chr10",47083342,"-","cg17771050",NA,NA,NA,NA,NA,NA,"chr10:47083341-47083633","Island","PPYR1","NM_005972","TSS200","","","TRUE","","","","",-0.89637270935129,-2.74145664270025,-6.57592288915965,4.80307036517462e-08,0.00032320408879052,8.16343216335114
"cg14769786","chr17",1881333,"+","cg14769786","rs12103650",0.012357,NA,NA,NA,NA,"chr17:1880789-1881116","S_Shore","RTN4RL1","NM_178568","Body","","","TRUE","17:1827342-1828311","","","",-1.77138894198687,-2.97907189954614,-6.57375152121225,4.83851992688432e-08,0.00032320408879052,8.15683773167493
"cg07529392","chr12",52215972,"+","cg07529392",NA,NA,NA,NA,NA,NA,"chr12:52214179-52216138","Island","FIGNL2","NM_001013690","1stExon","","","","12:50500242-50502385","","","",-1.02700496108675,1.15794311250421,-6.56933701560958,4.91140063608635e-08,0.00032320408879052,8.14343026898959
"cg20145009","chr14",105399175,"-","cg20145009",NA,NA,NA,NA,NA,NA,"chr14:105398076-105400079","Island","PLD4","NM_138790","Body","","","TRUE","14:104469188-104471489","","","",-1.35813104318823,2.3056746100226,-6.56429315560957,4.99601812050287e-08,0.00032320408879052,8.12811033503798
"cg14588779","chr19",15528530,"-","cg14588779",NA,NA,NA,NA,NA,NA,"chr19:15529290-15529902","N_Shore","AKAP8L","NM_014371","Body","","RDMR","","","","","",-0.686241454261332,-2.16304723707746,-6.55468368201006,5.16129096824561e-08,0.00032320408879052,8.09892004484745
"cg02838784","chr11",62652985,"-","cg02838784",NA,NA,NA,NA,NA,NA,"chr11:62648237-62649161","S_Shelf","SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2","NM_001012663;NM_001012662;NM_001013251;NM_001012661;NM_001012664;NM_002394","Body;Body;Body;Body;Body;Body","","","","","11:62651289-62653150","Promoter_Associated","",-0.896520079980248,3.4069088400786,-6.55220985483171,5.20471713923486e-08,0.00032320408879052,8.09140477033575
"cg14207833","chr19",18945153,"+","cg14207833",NA,NA,NA,NA,NA,NA,"chr19:18942432-18943127","S_Shelf","UPF1","NM_002911","Body","","","TRUE","","","","",-0.861487248070984,0.180888711873731,-6.54859060382571,5.26891037595612e-08,0.00032320408879052,8.08040933286243
"cg11705208","chr1",27683386,"+","cg11705208",NA,NA,NA,NA,NA,NA,"chr1:27683277-27683590","Island","MAP3K6","NM_004672","Body","","","","1:27555571-27556937","1:27683199-27684897","Promoter_Associated_Cell_type_specific","",1.25531984018829,2.50946265349124,6.54138205661257,5.39913704021954e-08,0.00032320408879052,8.05850783391378
"cg11532431","chr7",27169674,"+","cg11532431",NA,NA,NA,NA,NA,NA,"chr7:27169572-27170638","Island","HOXA4","NM_002141","Body","","","","7:27136035-27136818","7:27169589-27169678","Unclassified_Cell_type_specific","TRUE",-2.78742708481734,2.10185632480056,-6.5410913196206,5.40445645729032e-08,0.00032320408879052,8.05762445182882
"cg27413508","chr20",30225517,"-","cg27413508",NA,NA,NA,NA,NA,NA,"chr20:30225572-30225852","N_Shore","COX4I2","NM_032609","TSS200","","","","","","","",0.88669633170862,0.779505345520469,6.53690934742265,5.48155428326333e-08,0.00032320408879052,8.04491746497692
"cg16423910","chr19",49843627,"+","cg16423910",NA,NA,NA,NA,NA,NA,"chr19:49842654-49843628","Island","CD37;CD37","NM_001040031;NM_001774","3'UTR;3'UTR","","","TRUE","19:54534295-54535440","19:49843436-49843948","Unclassified","",1.15294717435964,-0.734592096698407,6.53408533971077,5.53423891316979e-08,0.00032320408879052,8.0363362691817
"cg07090356","chr18",23668764,"-","cg07090356",NA,NA,NA,NA,NA,NA,"chr18:23669971-23671275","N_Shore","SS18;SS18","NM_001007559;NM_005637","Body;Body","","RDMR","","","","","",-0.859580067444061,0.022828750949726,-6.51730179836871,5.85797931368422e-08,0.000336592877516683,7.98533018115007
"cg05711037","chr2",234359783,"+","cg05711037",NA,NA,NA,NA,NA,NA,"","OpenSea","DGKD;DGKD","NM_152879;NM_003648","Body;Body","","","","2:234024385-234024523","","","",-0.959375687526812,1.80317822767235,-6.50493570542569,6.10858052172224e-08,0.000345420836184276,7.94774184270668
"cg02142461","chr4",4293079,"-","cg02142461",NA,NA,NA,NA,NA,NA,"chr4:4291773-4292495","S_Shore","ZNF509;LYAR;LYAR","NM_145291;NM_001145725;NM_017816","5'UTR;TSS1500;TSS1500","","","","","","","",-1.10559356526483,0.222587209674201,-6.4647528163873,6.99939508609899e-08,0.000389609297257396,7.82556101378833
"cg21746425","chr15",99408804,"+","cg21746425",NA,NA,NA,NA,NA,NA,"","OpenSea","IGF1R","NM_000875","Body","","","","15:97226147-97226332","15:99408462-99409708","Promoter_Associated_Cell_type_specific","",0.946519019601559,0.300376403263523,6.45527092400436,7.2278966914767e-08,0.00039613877797771,7.79672172426319
"cg03337886","chr13",110436740,"+","cg03337886",NA,NA,NA,NA,NA,NA,"chr13:110434466-110440180","Island","IRS2","NM_003749","1stExon","high-CpG:109234717-109235097","","","13:109231934-109238221","","","",-0.630729702508911,2.2656253398594,-6.45042963221832,7.34742925688631e-08,0.000396588626609009,7.78199568017392
"cg19738980","chr18",7011463,"+","cg19738980","rs61695598",0.077509,NA,NA,NA,NA,"chr18:7011267-7011488","Island","LAMA1","NM_005559","Body","","","","18:7001268-7001488","","","",-1.58128772732351,0.682448666635756,-6.44533611914121,7.47532515754258e-08,0.000397469732947576,7.76650157941523
"cg24201793","chr2",9144764,"+","cg24201793",NA,NA,NA,NA,NA,NA,"chr2:9143127-9144630","S_Shore","MBOAT2","NM_138799","TSS1500","","","","","","","",-1.42311583302657,0.872797437452829,-6.42641634359567,7.97020675173478e-08,0.000414054252591583,7.70894143657204
"cg08255475","chr16",88871329,"-","cg08255475",NA,NA,NA,NA,NA,NA,"chr16:88871850-88872056","N_Shore","CDT1","NM_030928","Body","","","TRUE","16:87397282-87400050","16:88869636-88871550","Promoter_Associated","",-1.28226602541507,-0.122720715421859,-6.42458962364185,8.0196896598743e-08,0.000414054252591583,7.70338334120157
"cg25307665","chr7",27183694,"-","cg25307665",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS1500","","","","7:27149871-27150476","7:27182652-27184498","Unclassified","TRUE",2.57830543179769,1.98660476259358,6.41752246273928,8.21403962882431e-08,0.000417036668273313,7.6818793460707
"cg10088320","chr6",32805759,"-","cg10088320",NA,NA,NA,NA,NA,NA,"chr6:32806284-32806669","N_Shore","TAP2;TAP2","NM_000544;NM_018833","Body;Body","","","","","6:32805634-32807545","Promoter_Associated","",-0.747906467143029,-2.57206561376916,-6.41403824396767,8.31158428817393e-08,0.000417036668273313,7.67127696912965
"cg13654525","chr11",65360509,"-","cg13654525",NA,NA,NA,NA,NA,NA,"chr11:65359292-65360328","S_Shore","KCNK7;KCNK7;KCNK7;KCNK7","NM_033347;NM_005714;NM_033348;NM_033455","Body;3'UTR;3'UTR;3'UTR","","","","","","","",-1.01717206446224,1.6799023952274,-6.37999194456842,9.32790061015057e-08,0.000453765030029333,7.56765578424377
"cg04517524","chr14",94405342,"+","cg04517524",NA,NA,NA,NA,NA,NA,"chr14:94405235-94406170","Island","ASB2","NM_016150","Body","","","","14:93474744-93475921","","","",-1.53108132668123,-0.352292486892653,-6.37897786383191,9.36000714421085e-08,0.000453765030029333,7.56456887414673
"cg23903708","chr2",25527266,"-","cg23903708",NA,NA,NA,NA,NA,NA,"","OpenSea","DNMT3A;DNMT3A;DNMT3A","NM_022552;NM_175630;NM_175629","Body;Body;Body","","","TRUE","2:25380750-25380919","","","",-0.761584504621676,1.76212396795156,-6.37691352129171,9.425707651243e-08,0.000453765030029333,7.55828482785566
"cg14962509","chr1",36039655,"+","cg14962509",NA,NA,NA,NA,NA,NA,"chr1:36038927-36040051","Island","TFAP2E","NM_178548","Body","","","TRUE","1:35811251-35813151","","","",-2.20933608069902,4.04530874588196,-6.36756685618532,9.72899758142443e-08,0.000462120899119273,7.52983125134113
"cg11862081","chr11",66625106,"+","cg11862081",NA,NA,NA,NA,NA,NA,"chr11:66623620-66626614","Island","PC;LRFN4;PC;LRFN4;PC","NM_022172;NM_024036;NM_000920;NM_024036;NM_001040716","Body;5'UTR;Body;1stExon;Body","","","","","11:66625102-66625651","Promoter_Associated","",-0.692828083632268,0.374002897170276,-6.34982357309179,1.03318571285764e-07,0.000484299005627593,7.47580981197017
"cg14889079","chr19",54606153,"-","cg14889079",NA,NA,NA,NA,NA,NA,"chr19:54605985-54606590","Island","NDUFA3","NM_004542","TSS200","high-CpG:59297953-59298004","","","19:59297663-59298432","19:54605706-54606744","Promoter_Associated","",-1.67287129449636,-2.37239461601801,-6.34431988390996,1.05263400805707e-07,0.000487007275584795,7.45905154316542
"cg23349301","chr17",46697115,"-","cg23349301",NA,NA,NA,NA,NA,NA,"chr17:46697413-46697701","N_Shore","","","","","RDMR","TRUE","17:44052038-44052655","17:46695336-46697236","Unclassified","",-0.808126966370905,0.108764100646139,-6.3325778410278,1.09535896621398e-07,0.000495007615443111,7.4232954835392
"cg23983173","chr15",42564634,"-","cg23983173",NA,NA,NA,NA,NA,NA,"chr15:42565452-42565791","N_Shore","TMEM87A;TMEM87A","NM_001110503;NM_015497","Body;Body","","","","","","","",-0.723447123361957,-1.02048851352993,-6.33194332283703,1.09771650465286e-07,0.000495007615443111,7.42136319634145
"cg05612654","chr6",2375895,"+","cg05612654",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","","6:2320850-2320930","","","",-1.49935447356532,2.78985342578181,-6.30998947432959,1.182486455958e-07,0.000515934340206009,7.35450169636754
"cg20580088","chr14",62161583,"+","cg20580088",NA,NA,NA,NA,NA,NA,"chr14:62161847-62163231","N_Shore","HIF1A;HIF1A","NM_001530;NM_181054","TSS1500;TSS1500","","","","","14:62161467-62163181","Promoter_Associated","",-0.743229437844841,-2.06723493690751,-6.3088928371046,1.18688845475099e-07,0.000515934340206009,7.3511615465854
"cg21995347","chr5",53814891,"-","cg21995347",NA,NA,NA,NA,NA,NA,"chr5:53813379-53815306","Island","SNX18;SNX18;SNX18","NM_052870;NM_001102575;NM_001145427","1stExon;1stExon;1stExon","","","","5:53849137-53851276","","","",-1.00512114411812,1.75488018201879,-6.30872321404609,1.18757079809942e-07,0.000515934340206009,7.35064490441966
"cg16565409","chr17",27048223,"-","cg16565409","rs117326562",0.015625,NA,NA,NA,NA,"chr17:27046856-27047273","S_Shore","RPL23A;SNORD4A","NM_000984;NR_000010","Body;TSS1500","","","","","","","",-1.186985733352,0.139377494313069,-6.29866547049215,1.2287390098112e-07,0.000525186923964916,7.32000965429846
"cg25197194","chr3",128758787,"+","cg25197194",NA,NA,NA,NA,NA,NA,"","OpenSea","CCDC48","NM_024768","3'UTR","","","TRUE","","","","",-0.897818813594596,0.13163564989403,-6.29431524847549,1.2469843786118e-07,0.000525186923964916,7.30675848266763
