# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAGAB	cg22410743 (-27824)
BIRC7	cg03733979 (-148616)
BLID	cg26916936 (+16309)
BMI1	cg18537454 (+13074)
BMP1	cg14404763 (-639)
BMP4	cg04937184 (-317)
BMP7	cg03388679 (+3205), cg11598935 (+4064)
BNIP3	cg14321777 (-79375)
BOK	cg06469726 (-14668)
BPI	cg07053727 (+33122)
BRD1	cg06057569 (-1303)
BRD7	cg01194320 (-90477), cg23580000 (+80533), cg06897661 (+80615), cg02879453 (+80871)
BRE	cg12337011 (-111171), cg18712919 (-1425)
BRSK2	cg03322338 (-28630)
BSCL2	cg00306721 (-435)
BTBD10	cg07033475 (-23943)
BTBD11	cg13935577 (+262708)
BTG1	cg04661457 (+8119)
BTN3A1	cg22068371 (+5041)
BTN3A3	cg22068371 (-33194)
BUB3	cg12277789 (+119978)
BUD13	cg23900293 (+719198)
BZW1	cg09455823 (-70166)
C10orf129	cg15233961 (+36587)
C10orf25	cg26510023 (-198554), cg05960576 (-198251), cg03955764 (-108446)
C10orf90	cg09259235 (+99255)
C11orf54	cg03607573 (-2867)
C11orf73	cg10155725 (+367550)
C11orf83	cg27305510 (-3028)
C11orf87	cg05505103 (+493002), cg04064998 (+493288)
C11orf94	cg12843022 (+6873)
C15orf48	cg21253427 (-23770)
C15orf61	cg22410743 (-238508)
C16orf80	cg25771195 (-461)
C16orf89	cg02768760 (-1714)
C17orf62	cg27381584 (+835)
C17orf78	cg07660627 (-251014)
C17orf80	cg08385173 (+16119)
C19orf24	cg05242915 (-11945)
C19orf40	cg26741350 (-920)
C19orf77	cg22105158 (-133), cg18795569 (+31), cg14883993 (+105807)
C1D	cg12594648 (+133001)
C1orf159	cg06967105 (-52788)
C1orf174	cg09757127 (+6216)
C1orf185	cg23090529 (-125772)
C1orf210	cg23800435 (-127)
C1orf35	cg11953245 (-429)
C1orf43	cg18262993 (+711), cg26808167 (+876)
C1orf86	cg01927825 (+4488)
C20orf27	cg26411441 (+15334), cg18282375 (+15454), cg07963563 (+17431), cg17361896 (+17694)
C22orf29	cg04679902 (+89539), cg17338254 (+89886), cg10047755 (+90632), cg23573129 (+91260)
C2CD4B	cg16902122 (-357737), cg23484655 (-59189), cg03455316 (-58924)
C2orf49	cg18856091 (+2528)
C2orf82	cg13759905 (+7579)
C3orf18	cg15597107 (+37336)
C4BPB	cg21571160 (-29)
C4orf48	cg06124390 (+8909)
C5orf38	cg10613707 (+642202)
C5orf55	cg16322479 (-971)
C5orf63	cg05001932 (-189), cg15405432 (-127), cg21113900 (-125), cg14340928 (+427)
C6orf120	cg18881641 (+1242)
C6orf123	cg03298716 (+1187)
C6orf163	cg24132989 (-4231)
C6orf70	cg15627108 (+38144), cg12709009 (+405862), cg15637912 (+406037), cg03972135 (+406256), cg19406113 (+406343), cg19888017 (+437763), cg03775991 (+437810), cg00599530 (+438089), cg13019844 (+438177)
C7orf10	cg27106204 (+730629), cg16826055 (+912633)
C8B	cg01055518 (-370592)
C8orf17	cg06693505 (+114038), cg16815625 (+286062)
C8orf37	cg21857846 (-291095)
C9orf3	cg14583550 (+549565)
CA10	cg08605326 (-1315)
CA13	cg00849990 (-66982)
CA14	cg19320294 (+318)
CA6	cg20822540 (+64182)
CA8	cg20091636 (-132512)
CAB39	cg10817554 (+137146)
CACHD1	cg02697373 (-113578)
CACNA1A	cg03232342 (-211319)
CACNA1C	cg10635895 (+176711), cg23390118 (+176785), cg09576209 (+176886)
CACNA1E	cg21220403 (-377671)
CACNA1G	cg20271361 (+28001)
CACNA2D2	cg15597107 (-26992)
CACNA2D3	cg16708733 (-37192)
CACNG5	cg04721825 (-366747), cg18373158 (-146126)
CADM1	cg23900293 (-549373), cg09741912 (+453238)
CALM1	cg20250935 (-637), cg13497903 (+57315), cg04742977 (+264134)
CAMK2D	cg21323720 (+324622)
CAMKMT	cg25149238 (+441282)
CAMSAP3	cg19839825 (-44776)
CAMTA1	cg04368242 (+176228), cg00452133 (+462734), cg20800117 (+462983), cg12097989 (+465793)
CAPZB	cg01832549 (+36989)
CARD11	cg20997710 (-221036)
CARS	cg26073542 (-95462)
CARTPT	cg05556461 (+3072)
CASC4	cg21877473 (+36839)
CASP10	cg13368983 (-51874)
CASZ1	cg17480077 (-38813), cg11233000 (+5057)
CATSPER3	cg08452348 (+108)
CATSPERB	cg19000611 (+141)
CBFA2T3	cg08891584 (-107444), cg02431972 (+20123), cg08732950 (+20222)
CBLB	cg16975614 (-13948)
CBR1	cg05291773 (+58404)
CBR3	cg05291773 (-6567)
CBS	cg08276542 (-29895)
CBX3	cg01027929 (+625)
CBX4	cg17295878 (-111438), cg00256231 (-103506), cg23749482 (-88090), cg05483571 (-87997)
CBX5	cg02583484 (-3123), cg27111444 (+83077)
CCDC11	cg20851317 (+550)
CCDC125	cg02580917 (+302)
CCDC130	cg03232342 (-14217)
CCDC169-SOHLH2	cg25414209 (+86144)
CCDC8	cg18709349 (-82434), cg16617301 (-82269), cg03969996 (-82215), cg02876326 (-78917)
CCDC85C	cg15310872 (-19036)
CCDC88C	cg16505891 (+24323)
CCDC90B	cg10553890 (-77139)
CCL26	cg11303839 (+13246)
CCNI2	cg17280299 (-446)
CCNL1	cg19449917 (+54645), cg15697575 (+93220)
CCR7	cg07248223 (+4448)
CCRN4L	cg05906530 (-455191)
CCSER2	cg04757499 (-71821), cg17989763 (+775344)
CD101	cg17907003 (-10967)
CD109	cg02650127 (+395552)
CD160	cg07027119 (-9833)
CD180	cg21562809 (-989320)
CD22	cg25443560 (-29138)
CD37	cg17393635 (+4909)
CD4	cg10191002 (-15513)
CD40	cg20852302 (+37988)
CD7	cg06489606 (+23780)
CD72	cg07116010 (-26787)
CD81	cg09738410 (+43781)
CD97	cg00519069 (-518)
CDC42SE1	cg13842305 (+9793)
CDCA2	cg03595881 (+578593)
CDCA4	cg15895213 (+34772)
CDH11	cg05726274 (-627343), cg09322513 (-399581), cg26616201 (-264743)
CDH13	cg09044981 (+167108)
CDH15	cg04252928 (-69575), cg06035645 (-47317)
CDH22	cg20852302 (+95435)
CDH5	cg26616201 (-979689), cg09322513 (-844851), cg05726274 (-617089), cg08066417 (+12566)
CDK12	cg07381634 (+135569)
CDK13	cg20842915 (-324503)
CDK18	cg27179680 (-12846)
CDK5R2	cg03630015 (-76917), cg14657532 (-61833)
CDK6	cg15261712 (+224982), cg06688763 (+225023)
CDKN1C	cg10503232 (+15615), cg24696183 (+15750), cg23008562 (+16045), cg17239974 (+16481)
CDKN2C	cg23090529 (+15717)
CDT1	cg08255475 (+1709)
CEBPD	cg02483029 (+354376)
CEBPE	cg01267709 (-34932), cg23543481 (-34860), cg19473656 (-34839)
CELF2	cg25906638 (-145518)
CELF4	cg06370528 (+173122)
CENPF	cg14989033 (+402614)
CEP164	cg05100917 (-110)
CEP170	cg27390627 (+544132)
CEP55	cg25827255 (+371)
CEP72	cg24082121 (+60486)
CEP89	cg26741350 (+633)
CERCAM	cg14630692 (-37403), cg13434764 (-25835)
CES1	cg03880033 (+312)
CFD	cg08223924 (-3530)
CFLAR	cg13368983 (+14903)
CHCHD1	cg23231163 (-8470), cg15838173 (-8420)
CHD7	cg05575639 (+2360)
CHI3L2	cg09474476 (+25975)
CHIA	cg09474476 (-64170)
CHMP4A	cg01221018 (-1596)
CHMP6	cg09803959 (-100126)
CHPF2	cg18479961 (+5892)
CHRM2	cg24889058 (+56604)
CHRM3	cg20810345 (+369962)
CHRNA3	cg25527599 (-563)
CHRNA6	cg20539142 (+210)
CHRNE	cg10553748 (+1694)
CHST13	cg00180447 (+17135)
CHST15	cg09341154 (-1924)
CHST8	cg20148881 (-63204)
CHSY1	cg07616791 (+130416)
CHURC1	cg18507732 (-35397)
CIB1	cg10485466 (-72)
CIDEB	cg06768599 (-4888)
CIRBP	cg05242915 (+3697)
CISD3	cg21692159 (+12450)
CLDN19	cg26837708 (+55944)
CLDN20	cg21707172 (-47202)
CLDN22	cg21633052 (+223289), cg01278041 (+223399), cg24123198 (+223895)
CLDN23	cg08756121 (+261437), cg26711333 (+261572), cg03899229 (+261811)
CLDN3	cg00987534 (-23369)
CLDN4	cg00987534 (-34105)
CLEC11A	cg00740368 (+5422)
CLEC2L	cg15833657 (-630)
CLEC4G	cg21278129 (-299), cg19283928 (+2809)
CLIC4	cg15712177 (+164449)
CLIP2	cg10052687 (+83570)
CLMN	cg03507262 (+1455)
CLMP	cg04040975 (+543), cg05189804 (+742)
CLRN2	cg26689483 (-3590), cg18188326 (+1663)
CLSTN1	cg21117808 (-3353)
CLTCL1	cg24200083 (-9)
CLVS1	cg05575639 (-606817)
CMPK2	cg27120405 (+792865), cg17335199 (+927088)
CNGA3	cg12221689 (-134634)
CNOT10	cg12682607 (-102335)
CNR1	cg25278663 (-436066)
CNR2	cg07967717 (+55866), cg03611151 (+55967), cg24452347 (+56248), cg19276111 (+56316)
CNST	cg17815049 (-1084), cg12910806 (-1070), cg14460735 (-1020)
CNTD2	cg12564097 (-166)
CNTN5	cg00670913 (-1328)
COBL	cg03689146 (-957315), cg21540359 (-957153)
COL11A2	cg27264993 (+75667)
COL18A1	cg07279557 (+15), cg11029358 (+31)
COL21A1	cg10030658 (-185461)
COL22A1	cg17205832 (+748097)
COL23A1	cg24527008 (+147322)
COL2A1	cg01906695 (-1225), cg08886711 (-912)
COL4A1	cg25091527 (+40812)
COL4A2	cg08959039 (+102653)
COL4A3	cg12267933 (+147711)
COLGALT1	cg12847399 (-16236)
COMMD10	cg19108435 (-83286)
COMMD7	cg12871687 (+259025)
COMP	cg08177015 (-405)
COPRS	cg02736908 (+298979)
COQ9	cg00247269 (-938)
CORO1B	cg19544441 (-439)
CORO1C	cg02059980 (-79385)
COTL1	cg03024660 (+1267)
COX4I2	cg27413508 (-173), cg26070540 (-24), cg17116120 (-9), cg08918020 (+16)
COX7A1	cg24335895 (-1)
CPA2	cg22789065 (+5961)
CPA4	cg22789065 (-20365)
CPAMD8	cg08274011 (-1234)
CPD	cg22450798 (-80)
CPE	cg05119988 (-48904)
CPLX1	cg04074536 (+21274), cg17754473 (+21374), cg21445527 (+82532)
CPN1	cg11675881 (-33505)
CPN2	cg25771797 (+186557)
CPNE7	cg16616467 (+739)
CPO	cg18921030 (-125826)
CPQ	cg21735068 (+318013)
CPSF4L	cg08385173 (+13124)
CPXM1	cg14959908 (+44398), cg05825244 (+50794), cg05857996 (+105864), cg13518079 (+106210)
CPZ	cg00597607 (-2058)
CRADD	cg12999267 (+305478)
CREB5	cg16534307 (+146)
CREBBP	cg00039463 (-763)
CREBZF	cg06845655 (+13774)
CRHR1	cg04194664 (-145293)
CRHR2	cg19390658 (+103542), cg21429551 (+103956)
CRLS1	cg12432980 (+1059)
CRMP1	cg01352688 (-177450)
CRNKL1	cg11577716 (-221312), cg20430047 (-221172)
CRTAC1	cg23801028 (-724)
CRY2	cg23097878 (+10774)
CRYZ	cg15985533 (-32726)
CSE1L	ch.20.1062061F (+115170)
CSF3R	cg08903855 (-107891)
CSMD3	cg12040201 (-1320)
CSNK1D	cg06489606 (-20091)
CSNK1E	cg10929024 (-196)
CSNK2B	cg10586546 (+817)
CTBP1	cg17158584 (+30385)
CTDSP2	cg25055946 (-87539)
CTDSPL2	cg21877473 (-101664)
CTH	cg20457732 (+295532)
CTIF	cg14571194 (+319776)
CTNND2	cg17415451 (+315105)
CTR9	cg07276621 (-21663)
CTSL	cg13752933 (-225678)
CTTN	cg16944941 (+146700), cg25885280 (+515520)
CTU2	cg06867482 (+49035), cg16641055 (+73422)
CUZD1	cg10836540 (+204812)
CXCL12	cg22999518 (+493205)
CXCL14	cg06800658 (+32998)
CXCL6	cg18007641 (-60385)
CXXC1	cg19887750 (+831)
CYB5B	cg02645135 (+57741)
CYFIP1	cg12759523 (+30839), cg27406983 (+31161)
CYP26A1	cg24785804 (-5901)
CYP26C1	cg24785804 (+6725)
CYP2E1	cg21024264 (+7116)
CYP2W1	cg00431813 (+28869)
CYP46A1	cg01046026 (+53080), cg19706320 (+53878)
CYP4F11	cg18449879 (+590)
CYP7A1	cg25634507 (-783)
CYTL1	cg26789064 (+155068)
DAB1	cg15898414 (-823639), cg07026918 (-583093), cg20292791 (-199629), cg00026909 (-199273), cg01055518 (+87449)
DAB2	cg22838357 (-299068)
DAB2IP	cg13628022 (+396649)
DACT2	cg04680393 (+33941)
DAD1	cg22816294 (+599540)
DAGLB	cg25513090 (-1026)
DAOA	cg15804671 (-55453), cg19004775 (-55441), cg21893663 (-55419), cg12447154 (+883831)
DAP	cg17415451 (-827666)
DAPK1	cg13752933 (+1960)
DAW1	cg14646075 (-233)
DBP	cg15967501 (-2710)
DCAF17	cg09281979 (-910)
DCDC1	cg10833551 (+741803)
DCLK1	cg25414209 (-80392), cg16766613 (+5242)
DCN	cg04661457 (-954654)
DCT	cg27164770 (+240490)
DCTD	cg21633052 (-180106), cg01278041 (-179996), cg24123198 (-179500)
DDAH2	cg16704889 (+839), cg03608520 (+848), cg21286967 (+858)
DDX19A	cg27216788 (+33536)
DDX39B	cg24332685 (+2098)
DEDD	cg23981150 (-8633)
DEFB124	cg03529184 (-1347)
DENND1B	cg15832577 (-129623)
DENND3	cg12895810 (-81)
DENND4C	cg01331992 (+148686)
DFFB	cg09757127 (+36788)
DGKI	cg17582698 (+1722)
DGKQ	cg20456258 (+5219), cg22718636 (+5685)
DHDH	cg11734588 (-678)
DHRS12	cg00637144 (+17990)
DICER1	cg03507262 (-160441)
DIO2	cg00217795 (+154), cg19753609 (+353566), cg09971881 (+797818)
DIP2C	cg05495790 (-7681), cg13775636 (+23708), cg17333886 (+23929), cg17198320 (+39728), cg01263942 (+39746), cg11722581 (+39752), cg05585149 (+39761), cg12525330 (+48843), cg17079987 (+178043), cg02594677 (+267219), cg16135276 (+275908), cg19272109 (+346638), cg09889848 (+365596)
DISP1	cg24861436 (+184136)
DLGAP2	cg22305187 (-638180), cg21352158 (-616614), cg27241889 (-616519), cg00281725 (-616483), cg08324612 (-419010), cg17201135 (-369473), cg16922753 (-336240), cg14807682 (-8858), cg05809437 (+500)
DLL1	cg03394401 (-266), cg13019844 (+9663), cg00599530 (+9751), cg03775991 (+10030), cg19888017 (+10077), cg19406113 (+41497), cg03972135 (+41584), cg15637912 (+41803), cg12709009 (+41978), cg15627108 (+409696)
DLX3	cg12165772 (+2233), cg00594854 (+19905)
DLX4	cg05310240 (-67468), cg21355201 (-33470), cg00594854 (+6145), cg12165772 (+23817)
DMBT1	cg10836540 (+85316)
DMRT1	cg13595143 (-368723)
DMTN	cg09316140 (-4242)
DNAH14	cg24834199 (+495931)
DNAH5	cg16016281 (-163781)
DNAH8	cg14464563 (+254486)
DNAJB6	cg19350216 (+241565), cg25277638 (+245134), cg15733309 (+384048), cg14832998 (+401297), cg15727524 (+401557), cg00239915 (+679937), cg08951403 (+830761)
DNAJC19	cg01530605 (-707288)
DNAJC27	cg01884057 (+44911)
DNAJC6	cg16009734 (-360)
DNAJC8	cg22862846 (-1008)
DNAJC9	cg04197548 (+3674)
DNASE1L3	cg05093811 (+140478)
DNM3	cg26896255 (+76680)
DNMBP	cg21348900 (-709)
DPF3	cg10193870 (+222802)
DPH6	cg24222165 (+174461)
DPH7	cg13411784 (-294)
DPP10	cg16071125 (+52864)
DPY19L1	cg11437223 (-445), cg15754660 (+378259)
DPYSL4	cg18228116 (-5058)
DRAM2	cg16164356 (-1140)
DRC1	cg15138396 (-333)
DRD1	cg04678623 (+8986), cg11951818 (+717202)
DRG2	cg02206767 (-394)
DRGX	cg24002541 (-49889)
DSP	cg24148304 (+2570)
DST	cg10030658 (+209789)
DTNA	cg24946729 (+224722)
DTNBP1	cg06694826 (-11904)
DTX4	cg14329059 (+1000), cg17696194 (+1087), cg07745373 (+1451)
DUOX2	cg04325221 (-3689)
DUOXA2	cg04325221 (+3529)
DUSP1	cg26342114 (-46265), cg13412545 (+22432)
DUSP10	cg03970900 (-524531), cg21282663 (+861613)
DUSP16	cg06538684 (+204093)
DUX4L2	cg08573926 (+2538)
DYNC1LI1	cg12682607 (-22340)
DZIP3	cg21610854 (+166016)
E2F1	cg26537568 (-30162)
E2F5	cg00849990 (+1152)
EBF2	cg03595881 (+7807)
EBF3	cg04582254 (+5617), cg07194839 (+6329), cg00179795 (+66990), cg27429313 (+247773)
EBF4	cg13518079 (+1549), cg05857996 (+1895), cg05825244 (+56965), cg14959908 (+63361)
ECD	cg04197548 (-77093)
ECHDC3	cg22819767 (+82546), cg08584759 (+127762)
ECT2	cg18802998 (-24070)
EDAR	cg00361155 (-46124)
EDARADD	cg15677293 (+2018)
EDDM3A	cg07967723 (-14818)
EDN1	cg11276388 (-225620)
EEF1B2	cg12608507 (+1149), cg21647278 (+2467)
EFCAB1	cg22283653 (-176418), cg11491002 (+603248)
EFHD1	cg23340345 (+3735)
EFNA1	cg13808842 (-33839)
EFNA2	cg09487101 (+1276), cg14796563 (+1424), cg15998406 (+1680)
EFNA3	cg13808842 (+14749)
EFNA4	cg13069100 (-1228)
EFNA5	cg26598350 (-911121)
EFNB2	cg12447154 (+185039)
EGFLAM	cg05530317 (+187264)
EGFR	cg25815893 (+113137)
EGR2	cg12474798 (+10342), cg01005506 (+10346), cg20684110 (+10364)
EHBP1L1	cg09709600 (+16013), cg14759565 (+16615)
EIF1AD	cg17985854 (-1360)
EIF2AK4	cg05304366 (+552)
EIF2B2	cg05274056 (-18504)
EIF4A1	cg00004421 (-1064)
EIF4A2	cg20674424 (+2192)
EIF4E3	cg05384123 (+480184)
EIF5	cg22799691 (+20992)
EIF5A2	cg04799778 (+17199)
ELANE	cg19787694 (-4896), cg27535410 (-4659)
ELF1	cg09117688 (+96826)
ELFN1	cg18500431 (-18265), cg01119831 (+391854)
ELK4	cg15012468 (+61868)
ELMO2	cg01385679 (+2100)
EME2	cg09540102 (-1083)
EML1	cg01046026 (-55949), cg19706320 (-55151), cg10115368 (+175984)
EMX2	cg04450857 (-5198), cg12894449 (+2150)
EN2	cg17278072 (+7588)
ENC1	cg24896460 (+748434)
ENDOD1	cg26773791 (+60269), cg21502154 (+140179)
ENDOV	cg12495559 (+26068)
ENGASE	cg17167303 (+304685)
ENO1	cg18273817 (+2570)
ENO4	cg11069748 (-39543)
ENPEP	cg22006640 (+134807), cg05103917 (+136319)
ENPP7	cg06623295 (-164926)
ENSG00000113811	cg16708733 (-193486)
ENSG00000115128	cg14273083 (-7183)
ENSG00000148123	cg14253327 (-793)
ENSG00000166329	cg26871347 (+450945)
ENSG00000168824	cg17360330 (+109535), cg17078326 (+159472)
ENSG00000170091	cg14736365 (+475040)
ENSG00000171282	cg26314966 (+92621)
ENSG00000172901	cg19108435 (+39211)
ENSG00000186838	cg01933276 (-1322)
ENSG00000188897	cg09160589 (-37437)
ENSG00000228144	cg01598741 (+340046)
ENSG00000251246	cg13069100 (-1215)
ENSG00000254692	cg01221018 (-1992)
ENSG00000257184	cg05210501 (+287)
ENSG00000257743	cg05482413 (+129043)
ENSG00000259066	cg05022301 (-822)
ENSG00000263020	cg10586546 (+779)
ENSG00000267261	cg22373112 (-784), cg13470069 (-634)
ENSG00000269237	cg27663389 (+78138), cg10831725 (+78592), cg06405146 (+78828)
ENSG00000269741	cg10598596 (-4376)
ENSG00000270898	cg00701946 (+96), cg14832904 (+268)
ENTPD8	cg21241902 (-12114)
EOMES	cg02391509 (-2394)
EPAS1	cg13997788 (+68683)
EPB41L3	cg26438105 (-347879), cg01673082 (+87)
EPB42	cg18450625 (-1147)
EPC1	cg22534759 (+233083)
EPGN	cg23208326 (-24330)
EPHA4	cg04134754 (-697015)
