Biological Process	FDRq
2'-deoxyribonucleotide metabolic process	1.981908e-2
tyrosine phosphorylation of STAT protein	1.985813e-2
hepoxilin biosynthetic process	2.052037e-2
cellular response to carbohydrate stimulus	2.060291e-2
regulation of RNA metabolic process	2.081219e-2
response to amine stimulus	2.103086e-2
regulation of cell morphogenesis	2.104017e-2
gene expression	2.127003e-2
mesenchymal cell apoptotic process	2.137447e-2
left/right pattern formation	2.143110e-2
maintenance of Golgi location	2.248450e-2
regulation of transcription, DNA-dependent	2.317831e-2
sensory organ development	2.390335e-2
negative regulation of muscle cell apoptotic process	2.449184e-2
cerebral cortex cell migration	2.578010e-2
transcription initiation from mitochondrial promoter	2.613844e-2
deoxyribose phosphate metabolic process	2.641466e-2
regulation of neurogenesis	2.664054e-2
luteolysis	2.661933e-2
RNA metabolic process	2.672287e-2
embryonic skeletal joint development	2.665984e-2
telencephalon cell migration	2.662779e-2
dihydrofolate metabolic process	2.682457e-2
oxidative single-stranded DNA demethylation	2.690683e-2
regulation of RNA biosynthetic process	2.693302e-2
regulation of metabolic process	2.798739e-2
semicircular canal formation	2.944010e-2
Roundabout signaling pathway	2.957564e-2
regulation of homotypic cell-cell adhesion	2.955719e-2
regulation of amine transport	3.048704e-2
endosome transport via multivesicular body sorting pathway	3.055265e-2
response to cortisol stimulus	3.077309e-2
negative regulation of mesenchymal cell apoptotic process	3.114745e-2
sensory perception of mechanical stimulus	3.107679e-2
multicellular organismal water homeostasis	3.132094e-2
embryonic skeletal joint morphogenesis	3.162690e-2
deoxyribonucleotide metabolic process	3.196327e-2
regulation of apoptotic process	3.194067e-2
cellular carbohydrate biosynthetic process	3.197228e-2
negative regulation of appetite	3.186297e-2
left/right axis specification	3.221392e-2
response to amphetamine	3.284313e-2
negative regulation of leukocyte chemotaxis	3.290108e-2
neuronal-glial interaction involved in cerebral cortex radial glia guided migration	3.325613e-2
regulation of programmed cell death	3.321195e-2
positive regulation of fibrinolysis	3.537443e-2
soft palate development	3.570184e-2
development of primary female sexual characteristics	3.600503e-2
regulation of epidermal growth factor-activated receptor activity	3.590290e-2
regulation of neutrophil chemotaxis	3.581988e-2
regulation of cell death	3.663291e-2
regulation of nervous system development	3.667429e-2
regulation of cellular metabolic process	3.720071e-2
smooth endoplasmic reticulum calcium ion homeostasis	3.767621e-2
telencephalon development	3.948282e-2
limbic system development	4.014748e-2
negative regulation of amine transport	4.031362e-2
adult behavior	4.073974e-2
tangential migration from the subventricular zone to the olfactory bulb	4.129962e-2
cellular macromolecule biosynthetic process	4.297184e-2
JUN phosphorylation	4.311155e-2
synaptic growth at neuromuscular junction	4.312782e-2
regulation of nucleobase-containing compound metabolic process	4.354769e-2
positive regulation of neuron differentiation	4.347173e-2
negative regulation of cell projection organization	4.362172e-2
semicircular canal development	4.378240e-2
outer ear morphogenesis	4.509441e-2
negative regulation of chemokine-mediated signaling pathway	4.530687e-2
regulation of Notch signaling pathway	4.533912e-2
rhombomere 5 formation	4.537333e-2
rhombomere 3 formation	4.537333e-2
regulation of cellular macromolecule biosynthetic process	4.902387e-2
cannabinoid signaling pathway	4.900341e-2
